,pet_breed_id,gender,neuter_yn,weight_kg,claim_price,updated_at,age,prediction,neutralized,pet_breed,breed
0,1144,남자,y,1.0,101400,2022-01-06 13:44:34,781,371151.2757637057,y,1144,1144
1,1121,여자,n,0.9,40520,2022-12-11 13:16:56,89,371151.2757637057,n,1121,1121
2,1149,남자,y,4.3,86710,2022-12-26 13:20:05,794,371151.2757637057,y,1149,1149
3,1121,여자,n,0.9,85470,2023-01-07 10:34:40,116,371151.2757637057,n,1121,1121
4,1109,남자,n,3.0,49500,2023-01-15 16:22:17,313,371151.2757637057,n,1109,1109
5,1109,남자,n,3.0,49500,2023-01-15 16:22:28,313,371151.2757637057,n,1109,1109
6,1109,남자,n,3.0,49500,2023-01-15 16:22:38,313,371151.2757637057,n,1109,1109
7,1109,남자,n,3.0,49500,2023-01-15 16:24:26,313,371151.2757637057,n,1109,1109
8,1109,남자,n,3.0,49500,2023-01-15 16:25:05,313,371151.2757637057,n,1109,1109
9,1109,남자,n,3.0,49500,2023-01-15 16:25:21,313,371151.2757637057,n,1109,1109
10,1109,남자,n,3.0,49500,2023-01-15 16:27:49,313,371151.2757637057,n,1109,1109
11,1301,남자,n,43.0,63800,2023-03-09 20:28:14,3739,389217.9664371295,n,1301,1301
12,1301,남자,n,43.0,63800,2023-03-09 20:31:34,3739,389217.9664371295,n,1301,1301
13,1224,여자,y,10.0,138030,2023-05-05 22:46:08,2310,389217.9664371295,y,1224,1224
14,1224,여자,y,10.0,138030,2023-05-05 22:47:18,2310,389217.9664371295,y,1224,1224
15,1224,여자,y,10.0,138030,2023-05-05 22:47:33,2310,389217.9664371295,y,1224,1224
16,1224,여자,y,10.0,138030,2023-05-05 22:48:21,2310,389217.9664371295,y,1224,1224
17,1224,여자,y,10.0,138030,2023-05-05 22:50:37,2310,389217.9664371295,y,1224,1224
18,1224,여자,y,10.0,138030,2023-05-05 22:50:44,2310,389217.9664371295,y,1224,1224
19,1452,남자,y,4.0,56100,,344,371151.2757637057,y,1452,1452
20,1452,남자,y,4.0,56100,,344,371151.2757637057,y,1452,1452
21,1452,남자,y,4.0,56100,,344,371151.2757637057,y,1452,1452
22,1224,여자,y,8.3,93770,,734,371151.2757637057,y,1224,1224
23,1121,여자,n,0.9,56000,2023-06-22 15:43:11,282,371151.2757637057,n,1121,1121
24,1121,여자,n,0.9,56000,2023-06-22 15:43:16,282,371151.2757637057,n,1121,1121
25,1121,여자,n,0.9,56000,2023-06-22 15:43:39,282,371151.2757637057,n,1121,1121
26,1121,여자,n,0.9,56000,2023-06-22 15:44:11,282,371151.2757637057,n,1121,1121
27,1121,여자,n,0.9,56000,2023-06-22 15:52:03,282,371151.2757637057,n,1121,1121
28,1224,여자,y,8.3,28600,,766,371151.2757637057,y,1224,1224
29,1224,여자,y,8.3,28600,,766,371151.2757637057,y,1224,1224
30,1224,남자,n,10.0,111000,2023-07-11 18:55:17,2341,389217.9664371295,n,1224,1224
31,1224,남자,n,10.0,111000,2023-07-11 18:55:39,2341,389217.9664371295,n,1224,1224
32,1224,남자,n,10.0,111000,2023-07-11 18:56:06,2341,389217.9664371295,n,1224,1224
33,1224,남자,n,10.0,111000,2023-07-11 18:56:32,2341,389217.9664371295,n,1224,1224
34,1224,남자,n,10.0,111000,2023-07-11 18:56:48,2341,389217.9664371295,n,1224,1224
35,1224,남자,n,10.0,111000,2023-07-11 19:01:50,2341,389217.9664371295,n,1224,1224
36,1224,남자,n,10.0,111000,2023-07-11 19:02:00,2341,389217.9664371295,n,1224,1224
37,1224,남자,n,10.0,111000,2023-07-11 19:02:04,2341,389217.9664371295,n,1224,1224
38,1301,남자,n,43.0,107800,2023-07-18 14:00:51,3870,389217.9664371295,n,1301,1301
39,1301,남자,n,43.0,107800,2023-07-18 14:01:14,3870,389217.9664371295,n,1301,1301
40,1301,남자,n,43.0,107800,2023-07-18 14:01:54,3870,389217.9664371295,n,1301,1301
41,1224,여자,y,8.3,35200,,776,371151.2757637057,y,1224,1224
42,1325,남자,n,35.0,389770,2023-10-09 09:13:25,2272,371151.2757637057,n,1325,1325
43,1224,남자,n,10.0,70800,2023-11-21 10:53:24,2474,389217.9664371295,n,1224,1224
44,1224,남자,n,10.0,70800,2023-11-21 10:53:57,2474,389217.9664371295,n,1224,1224
45,1301,남자,n,43.0,151000,2023-12-10 16:33:37,4015,389217.9664371295,n,1301,1301
46,1301,남자,n,43.0,151000,2023-12-10 16:34:12,4015,389217.9664371295,n,1301,1301
47,1301,남자,n,43.0,151000,2023-12-10 16:35:09,4015,389217.9664371295,n,1301,1301
48,1301,남자,n,43.0,151000,2023-12-10 16:35:44,4015,389217.9664371295,n,1301,1301
49,1301,남자,n,43.0,151000,2023-12-10 16:43:08,4015,389217.9664371295,n,1301,1301
50,1325,여자,y,21.0,10000000,2024-01-30 19:14:30,3566,389217.9664371295,y,1325,1325
51,1301,남자,n,43.0,151000,2024-02-01 22:25:25,4068,389217.9664371295,n,1301,1301
52,1301,남자,n,43.0,151000,2024-02-01 22:26:40,4068,389217.9664371295,n,1301,1301
53,1301,남자,n,43.0,151000,2024-02-01 22:27:09,4068,389217.9664371295,n,1301,1301
54,1578,여자,y,3.6,2538000,,467,371151.2757637057,y,1578,1578
